   Compiling ../../adder_test.cpp in debug mode
   Compiling ../../adder.cpp in debug mode
   Generating csim.exe
Expected 6, got 6
Expected 22, got 22
Expected 38, got 38
Expected 54, got 54
Expected 70, got 70
Expected 86, got 86
Expected 102, got 102
Expected 118, got 118
Expected 134, got 134
Expected 150, got 150
Expected 166, got 166
Expected 182, got 182
Expected 198, got 198
Expected 214, got 214
Expected 230, got 230
Expected 246, got 246
Expected 262, got 262
Expected 278, got 278
Expected 294, got 294
Expected 310, got 310
Expected 326, got 326
Expected 342, got 342
Expected 358, got 358
Expected 374, got 374
Expected 390, got 390
Expected 406, got 406
Expected 422, got 422
Expected 438, got 438
Expected 454, got 454
Expected 470, got 470
Expected 486, got 486
Expected 502, got 502
Expected 518, got 518
Expected 534, got 534
Expected 550, got 550
Expected 566, got 566
Expected 582, got 582
Expected 598, got 598
Expected 614, got 614
Expected 630, got 630
Expected 646, got 646
Expected 662, got 662
Expected 678, got 678
Expected 694, got 694
Expected 710, got 710
Expected 726, got 726
Expected 742, got 742
Expected 758, got 758
Expected 774, got 774
Expected 790, got 790
Expected 806, got 806
Expected 822, got 822
Expected 838, got 838
Expected 854, got 854
Expected 870, got 870
Expected 886, got 886
Expected 902, got 902
Expected 918, got 918
Expected 934, got 934
Expected 950, got 950
Expected 966, got 966
Expected 982, got 982
Expected 998, got 998
Expected 1014, got 1014
Expected 1030, got 1030
Expected 1046, got 1046
Expected 1062, got 1062
Expected 1078, got 1078
Expected 1094, got 1094
Expected 1110, got 1110
Expected 1126, got 1126
Expected 1142, got 1142
Expected 1158, got 1158
Expected 1174, got 1174
Expected 1190, got 1190
Expected 1206, got 1206
Expected 1222, got 1222
Expected 1238, got 1238
Expected 1254, got 1254
Expected 1270, got 1270
Expected 1286, got 1286
Expected 1302, got 1302
Expected 1318, got 1318
Expected 1334, got 1334
Expected 1350, got 1350
Expected 1366, got 1366
Expected 1382, got 1382
Expected 1398, got 1398
Expected 1414, got 1414
Expected 1430, got 1430
Expected 1446, got 1446
Expected 1462, got 1462
Expected 1478, got 1478
Expected 1494, got 1494
Expected 1510, got 1510
Expected 1526, got 1526
Expected 1542, got 1542
Expected 1558, got 1558
Expected 1574, got 1574
Expected 1590, got 1590
Expected 1606, got 1606
Expected 1622, got 1622
Expected 1638, got 1638
Expected 1654, got 1654
Expected 1670, got 1670
Expected 1686, got 1686
Expected 1702, got 1702
Expected 1718, got 1718
Expected 1734, got 1734
Expected 1750, got 1750
Expected 1766, got 1766
Expected 1782, got 1782
Expected 1798, got 1798
Expected 1814, got 1814
Expected 1830, got 1830
Expected 1846, got 1846
Expected 1862, got 1862
Expected 1878, got 1878
Expected 1894, got 1894
Expected 1910, got 1910
Expected 1926, got 1926
Expected 1942, got 1942
Expected 1958, got 1958
Expected 1974, got 1974
Expected 1990, got 1990
Expected 2006, got 2006
Expected 2022, got 2022
Expected 2038, got 2038
Expected 2054, got 2054
Expected 2070, got 2070
Expected 2086, got 2086
Expected 2102, got 2102
Expected 2118, got 2118
Expected 2134, got 2134
Expected 2150, got 2150
Expected 2166, got 2166
Expected 2182, got 2182
Expected 2198, got 2198
Expected 2214, got 2214
Expected 2230, got 2230
Expected 2246, got 2246
Expected 2262, got 2262
Expected 2278, got 2278
Expected 2294, got 2294
Expected 2310, got 2310
Expected 2326, got 2326
Expected 2342, got 2342
Expected 2358, got 2358
Expected 2374, got 2374
Expected 2390, got 2390
Expected 2406, got 2406
Expected 2422, got 2422
Expected 2438, got 2438
Expected 2454, got 2454
Expected 2470, got 2470
Expected 2486, got 2486
Expected 2502, got 2502
Expected 2518, got 2518
Expected 2534, got 2534
Expected 2550, got 2550
Expected 2566, got 2566
Expected 2582, got 2582
Expected 2598, got 2598
Expected 2614, got 2614
Expected 2630, got 2630
Expected 2646, got 2646
Expected 2662, got 2662
Expected 2678, got 2678
Expected 2694, got 2694
Expected 2710, got 2710
Expected 2726, got 2726
Expected 2742, got 2742
Expected 2758, got 2758
Expected 2774, got 2774
